site,time,unit,value
Milford Haven Grid,2025-11-12T11:15:00+00:00,MW,-0.21600000000000108
Milford Haven Grid,2025-11-12T11:20:00+00:00,MW,-0.3490000000000002
Milford Haven Grid,2025-11-12T11:25:00+00:00,MW,-0.1999999999999993
Milford Haven Grid,2025-11-12T11:30:00+00:00,MW,-0.36100000000000065
Milford Haven Grid,2025-11-12T11:35:00+00:00,MW,-0.23900000000000077
Milford Haven Grid,2025-11-12T11:40:00+00:00,MW,-0.3279999999999994
Milford Haven Grid,2025-11-12T11:45:00+00:00,MW,-0.33699999999999974
Milford Haven Grid,2025-11-12T11:50:00+00:00,MW,-0.21799999999999997
Milford Haven Grid,2025-11-12T11:55:00+00:00,MW,-0.18200000000000216
Milford Haven Grid,2025-11-12T12:00:00+00:00,MW,-0.17599999999999838
Milford Haven Grid,2025-11-12T12:05:00+00:00,MW,-0.3200000000000003
Milford Haven Grid,2025-11-12T12:10:00+00:00,MW,-0.3699999999999992
Milford Haven Grid,2025-11-12T12:15:00+00:00,MW,-0.27399999999999913
Milford Haven Grid,2025-11-12T12:20:00+00:00,MW,-0.22500000000000142
Milford Haven Grid,2025-11-12T12:25:00+00:00,MW,-0.3949999999999996
Milford Haven Grid,2025-11-12T12:30:00+00:00,MW,-0.14700000000000024
Milford Haven Grid,2025-11-12T12:35:00+00:00,MW,-0.1930000000000014
Milford Haven Grid,2025-11-12T12:40:00+00:00,MW,-0.22700000000000387
Milford Haven Grid,2025-11-12T12:45:00+00:00,MW,-0.41799999999999926
Milford Haven Grid,2025-11-12T12:50:00+00:00,MW,-0.16100000000000136
Milford Haven Grid,2025-11-12T12:55:00+00:00,MW,-0.25
Milford Haven Grid,2025-11-12T13:00:00+00:00,MW,-0.45899999999999963
Milford Haven Grid,2025-11-12T13:05:00+00:00,MW,-0.4330000000000034
Milford Haven Grid,2025-11-12T13:10:00+00:00,MW,-0.3319999999999972
Milford Haven Grid,2025-11-12T13:15:00+00:00,MW,-0.3619999999999983
Milford Haven Grid,2025-11-12T13:20:00+00:00,MW,-0.2510000000000012
Milford Haven Grid,2025-11-12T13:25:00+00:00,MW,-0.42299999999999827
Milford Haven Grid,2025-11-12T13:30:00+00:00,MW,-0.25699999999999434
Milford Haven Grid,2025-11-12T13:35:00+00:00,MW,-0.20800000000000196
Milford Haven Grid,2025-11-12T13:40:00+00:00,MW,-0.3269999999999982
Milford Haven Grid,2025-11-12T13:45:00+00:00,MW,-0.4789999999999992
Milford Haven Grid,2025-11-12T13:50:00+00:00,MW,-0.21300000000000097
